CMD: gh search repos <q> --sort stars --limit 12 for q in: "EARS requirements", "spec workflow kiro", "claude-code PRD", "requirements-analyst", "product-manager claude", "brainstorm skill", "spec-driven-development", "claude code requirements"
AT_UTC: 2026-09-09T09:34:38Z
RC: 0
### query: EARS requirements
levilucio/EARS-CTRL | 6 | 2018-03-09T07:58:32Z | apache-2.0 | expressing and analysing controllers as EARS requirements
duonghvu/automotive-syseng | 5 | 2026-04-21T12:39:20Z | mit | AI-powered automotive systems engineering skill: INCOSE/EARS requirements analysis, MISRA-C compliance, SAE J3
amir-arad/adv-ears | 2 | 2026-08-23T18:28:04Z | mit | tools for the adv-ears requirements format
jjappleg/RequirementsSyntax.github.io | 1 | 2025-05-14T22:34:10Z |  | Repository for EARS Requirements Syntax Analyzer Website
philo-kim/intent-spec-layer | 1 | 2026-05-27T04:11:29Z | other | Spec layer for AI coding agents: turn intent into EARS requirements and verification obligations
spec-foundry/specfoundry | 1 | 2026-05-18T18:16:57Z | mit | Specification-Driven Development toolkit for Claude Code: EARS requirements, Prompt Contracts, GitHub Projects
anarefin/reverse-engineering-skills | 1 | 2026-05-22T14:40:36Z |  | Claude Code or Cursor Agent Skills for reverse-engineering Spring Boot, Grails, and Jmix codebases into EARS r
kant2002/ears-parser | 0 | 2026-09-09T05:26:41Z | mit | The parsers for the EARS requirements language
norandom/spec-kit-ears-tdd | 0 | 2026-08-18T15:35:59Z | mit | Personal research: Reusable EARS requirements and TDD traceability policy for GitHub Spec Kit
batidiane/specflow | 0 | 2026-05-11T12:39:42Z | mit | Specification-Driven Development toolkit for Claude Code: EARS requirements, Prompt Contracts, GitHub Projects
TomRathbun/ciss_se_capstone | 0 | 2026-09-09T09:17:58Z |  | CISS SE Capstone course — systems engineering training, military ops literacy, and intern selection (vision → 
leagames0221-sys/plm-changelens | 0 | 2026-06-06T07:24:40Z | mit | Deterministic BOM (bill of materials) diff + optional AI layer that drafts change-impact and EARS requirement/
### query: kiro spec
kingchen95272025/kiro_workflow | 57 | 2025-09-25T02:39:33Z |  | Kiro Spec工作流：从理念到实践 - 在Cursor与Claude Code中构建系统化AI开发流程
TokenRollAI/SPEC-mcp | 31 | 2025-08-22T14:48:22Z |  | kiro SPEC mode impl by mcp
wordflowlab/fractal-docs | 19 | 2025-12-23T15:12:15Z |  | Fractal Docs 是一个 Kiro Spec，用于在你的项目中初始化自维护文档系统。
mreferre/ralph-loop-kiro-specs | 12 | 2026-02-13T14:50:34Z | apache-2.0 | A Ralph loop for Kiro specs driven development
rerewang/awesome-context-engineering | 7 | 2025-09-02T11:04:53Z | mit | A curated list of Context Engineering frameworks, tools, and best practices for building production-grade AI s
awsdataarchitect/postgres-rust-migration | 6 | 2025-09-26T17:28:07Z |  | Code sample repo to demo how Kiro can be used to migrate large codebases and working with such repos using Kir
